№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
2&568e8fb8ca2e43fda22036437a662a9a&	Сентябрь меняет все&[['грусть']]&0.0&admin
3&79e2eb6c50bb4c2988ae67e40115631d&	ебаать , нас уже  я не понимаю , откуда такая цифра , но я вас безумно люблю и дорожу я безумно рада , что&[['счастье']]&56.9&admin
4&d8127586c0a44c8e8d5a91dfadec486b&	Пошли    где мы его найдем только &[['спокойствие']]&56.9&admin
5&31be91358e9640c5bb91289ffd814aa1&	ненавижу кабачок - мама говорила , огурцов соленых нет , добавим в оливье кабачок  майонеза нет - придется заправить сметаной - ненавижу  в&[['гнев']]&56.9&admin
6&635b97b49b4a4634a9e6bec8c1f286fd&	Поэтому просто прошу не пишите такое больше   Вам ничего это не даст только кучу таких же оскорбительных комментариев которые вы сами пишите &[['грусть']]&56.9&admin
7&c8b13b10a22a40ce977ed0d21d68658e&	Книг много не бывает&[['спокойствие']]&56.9&admin
8&50247c6e53bf471dbaa11cdb18afbd5d&	Самое смешное что мне никто не написал даже &[['грусть']]&56.9&admin
9&e543fcef427a4c939c5ed323133b40cc&	Мне нечего делать &[['страх', 'спокойствие']]&70.71&admin
10&fcaeb84e58a24575a3fad94a3cb968df&	я не стэню монсту , но биас всетаки есть  я просто обожаю Шону  pictwittercomabmIDiVrn&['Ни одного']&100.0&admin
11&21ca043edb584bf08b1513b8f3299ce3&	Такое чувство , что коррекцию татуировки делать больнее , чем саму татуировку &[['грусть']]&0.0&TarasenkoAA
12&191ba6a0e0d8431f94c982a5751fd2cd&	Не будем соперничать &[['спокойствие']]&100.0&TarasenkoAA
13&a1a71116b2bc485b96040c495261eef7&	Вы лучшие , я обожаю вас️ !&[['счастье']]&100.0&TarasenkoAA
14&14fd1850ab574820a7ebef713521532d&	Буян гэж сэтгэлийн хаа нэгтээ байгаа хоосон орон зайгаа нөхөх үйлдэл биш шүү тиймээ ️️&['Ни одного']&100.0&TarasenkoAA
15&d758db42ae184731a63511b6b7d8cacd&	Гуйя энэ цэвэрлэх байгууламжийн үмхий үнэрээ шийдээд өгөөч дээ ️&['Ни одного']&100.0&TarasenkoAA
16&ec33703b2fad4fbeadd8422495c77451&	До сих пор не представляю , как Тим смог выковырить косточку из персика , не разворотив его на кусочки  это ж какие юркие и&[['удивление']]&100.0&TarasenkoAA
17&ed96ba5a6876416f9219923f52f5f6a1&	Повр &['Ни одного']&100.0&TarasenkoAA
18&ff522180800d4b6fab0126d9f428bc35&	Хотоор инкеел яваа күнайна зүгээр үү ?&['Ни одного']&100.0&TarasenkoAA
19&33f4f78380f944c9bcb761e80aaac112&	Как объяснить одноклассникам , что у меня нет денег  pictwittercomOpnxlBVyn&[['грусть']]&0.0&TarasenkoAA
20&3389111cd080414ba432c507fe089916&	Ты вовремя пришел !  К вечеру пятницы наша ебанутость достигла критической отметки .&['Ни одного']&0.0&TarasenkoAA
21&d925a6de60fe409fafe116bc2883a040&	 мы теперь область , не город а область .&[['счастье']]&0.0&TarasenkoAA
22&901dfca76f2f4b278d51cf2ab429e9e1&	Психотерапевт тут нужен , психолог не справится ! &[['грусть']]&0.0&TarasenkoAA
23&cdccd7e8859145638376ccee3e261cb4&	Подавать кипящую еду - это верх безумия и незнание основных правил&[['гнев']]&0.0&TarasenkoAA
24&8262fc215f304923a75e968ea5c16244&	Пусть , вон , в Туле бегают - прыгают - метают - толкают . . . &[['гнев']]&0.0&TarasenkoAA
25&544e621ec35f4972aaf47784ba2621f2&	# Котэ Рождественские праздники    - худшее , что было в моей жизни  pictwittercomdAqRZtj&[['грусть']]&100.0&TarasenkoAA
26&2a1698097771400ea65e809333099478&	Я с тобой , бро , все хорошо . . . &[['счастье']]&0.0&TarasenkoAA
27&4be4f04663b84ffeb94e81014e8aab5d&	с  октября у нас у всех сокращение    завтра решится судьба  так странно , выдали уведомление , что вас могут уволить&[['грусть']]&0.0&TarasenkoAA
28&9c13cef92e6c43458a1b44fd50cbcca7&	Аааааааааа шастье полные штаныыыы &[['счастье']]&100.0&TarasenkoAA
29&71700a7821ac409e85e811e47e59fe45&	シアわせ ⸌  ⸍ Ретвитнул ( а ) TIME&['Ни одного']&100.0&TarasenkoAA
30&b2a4fbe97c4a4a5a9bdf6ecb178f2ef7&	пиздец , если кто будет со мной говорить в ближайшее время : говорите громче , я не слышу на одно ухо &[['грусть', 'гнев']]&70.71&TarasenkoAA
31&b463f1e305384a019c965f6404822a1c&	Сахар со Стеклом /  Ретвитнул ( а ) rəpa , love yourself &['Ни одного']&100.0&TarasenkoAA
32&c9c43f9145314d8d89b7e928def04e2c&	похоже на сговор &[['грусть']]&0.0&TarasenkoAA
33&e37752e2cbbb46b38450ee7d52c09315&	Кератиновое выпрямление и восстановление волос️ / Показания к проведению данной про . .&['Ни одного']&0.0&TarasenkoAA
34&b88e8f4b33f844148d612c588058e020&	Чего только в природе не существует&[['удивление']]&100.0&TarasenkoAA
35&ef4ac0ec3b4f4b2b81d3754602b69cef&	Это даже не историческая хуйня , это легендарная хуйня ! ! !  Как объяснить все происходящее на ЧМ ? ? ! ! ️️ С&[['счастье', 'удивление']]&0.0&TarasenkoAA
36&82d158e49fd042f59a4ee3b4c61e9b85&	Выспались ли вы ?  Какие планы на выходной ?&[['спокойствие']]&0.0&TarasenkoAA
37&fb0c8afc27b6408f939f1fe395dae0c2&	Марганец , стало скучно&[['грусть']]&100.0&TarasenkoAA
38&c2041ee0d86b45638e28aff086373d3e&	Капец , сестре через  месяца  лет   вот это да&[['удивление']]&100.0&TarasenkoAA
39&a988cf7c29a84063b8152623741f4451&	Некоторые мадамы там раздеваются до голого пупка , чтобы запостить в твиттер фоточки новых носочков ! &[['гнев', 'отвращение']]&0.0&TarasenkoAA
40&a444500a41194507a98c15548e29f7cc&	Сегодня узнала , что мои одногрупники до недавнего времени считали меня беременной  интересно что еще они обо мне думали&[['грусть']]&0.0&TarasenkoAA
41&43c3dec5b26140738d3842da21f0f632&	 Пишите в лс , дам адресок одного курорта  , эффект - просто бомба  % гарантия&[['счастье']]&0.0&TarasenkoAA
42&e27d06669e664e24bd680b247dd72d0e&	Столько дел перед отъездом&[['грусть']]&0.0&TarasenkoAA
43&7d66c62e39d74d8087f810b75f84ee4a&	тавилгагүй хоосон өрөө сайхан л бдг бх&['Ни одного']&100.0&TarasenkoAA
44&ddc48619e73a4ba9abca5a4fa87681d7&	сделала же на свою голову эту стори  сторис , жестко  ️️️&[['грусть']]&0.0&TarasenkoAA
